Month,DRUG/NARCOTIC OFFENSES,LARCENY-THEFT,ROBBERY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,FRAUD OFFENSES,KIDNAPPING/ABDUCTION,COUNTERFEITING/FORGERY,PORNOGRAPHY/OBSCENE MATERIAL,EXTORTION/BLACKMAIL,MOTOR VEHICLE THEFT,SEX OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,WEAPON LAW VIOLATIONS,ARSON,HUMAN TRAFFICKING,LIQUOR LAW VIOLATIONS,BAD CHECKS,PROSTITUTION OFFENSES,"FAMILY OFFENSES, NONVIOLENT",CURFEW/LOITERING/VAGRANCY VIOLATIONS,ANIMAL CRUELTY,HOMICIDE OFFENSES,PEEPING TOM,DRUNKENNESS,"SEX OFFENSES, CONSENSUAL",TRESPASS OF REAL PROPERTY,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING,BRIBERY,GAMBLING OFFENSES
2019-01,189,2161,135,541,127,341,5,39,4,9,264,46,49,9,80,11,0,5,35,28,73,7,0,3,2,0,3,462,911,763,0,0
2019-02,137,1621,112,369,108,270,8,19,2,3,226,36,47,9,38,5,0,8,22,2,52,4,0,2,0,0,2,337,743,492,0,0
2019-03,153,2123,125,509,123,265,9,39,7,7,259,43,47,8,63,8,0,11,28,3,51,6,0,4,1,0,0,380,935,599,0,0
2019-04,199,2038,129,498,119,339,6,25,9,7,294,54,44,9,71,3,0,2,40,0,67,4,0,1,1,0,0,421,885,561,0,0
2019-05,116,2097,117,502,95,287,11,37,1,8,320,55,50,3,58,7,1,4,18,4,20,2,2,5,1,1,1,314,1022,621,0,0
2019-06,129,2090,122,471,114,279,7,37,3,6,369,58,49,6,55,10,2,2,10,4,9,4,2,1,0,1,1,299,924,617,0,0
2019-07,140,2362,152,520,123,277,11,36,2,12,373,54,48,7,58,12,4,3,14,62,8,6,3,8,1,0,0,315,1058,637,0,0
2019-08,117,2383,140,578,120,269,13,43,6,10,416,68,80,4,54,8,0,13,9,58,11,5,6,5,3,0,0,267,998,673,0,0
2019-09,117,2313,115,447,108,279,15,36,2,8,380,45,46,8,47,8,1,11,11,18,4,4,0,2,3,1,0,239,926,658,0,0
2019-10,123,2316,135,444,111,292,12,41,6,8,382,54,50,10,43,15,0,3,11,29,4,3,1,2,2,0,0,328,960,666,0,0
2019-11,111,2308,140,473,114,250,15,41,4,8,365,50,52,8,43,16,5,3,4,15,5,0,1,3,1,0,0,279,883,699,0,0
2019-12,110,2202,131,454,145,271,11,37,3,9,344,49,63,7,43,7,1,4,4,8,9,1,2,2,0,0,0,270,923,651,0,0
2020-01,123,2230,138,446,131,300,14,36,2,9,373,49,54,5,51,1,2,4,4,6,3,0,0,6,1,0,1,281,900,662,0,0
2020-02,126,2036,85,404,130,267,13,40,4,11,292,43,51,7,50,9,1,2,4,12,8,1,1,1,2,0,0,335,829,584,0,0
2020-03,114,1718,104,475,102,1576,10,31,2,4,306,36,51,6,66,5,2,5,6,1,2,5,2,2,2,0,1,316,847,798,1,0
2020-04,127,1740,113,567,96,849,13,23,1,11,360,34,51,3,63,8,0,3,3,0,4,0,3,5,2,1,0,333,780,959,0,0
2020-05,127,1639,115,584,95,6513,4,38,1,11,282,33,64,3,72,12,1,7,2,2,3,1,2,6,1,2,0,250,895,897,0,0
2020-06,34,1262,116,510,66,441,15,28,1,5,383,40,25,5,32,15,1,1,5,2,3,4,1,4,2,0,0,130,822,785,0,0
2020-07,38,1695,125,648,46,302,12,18,3,6,442,34,37,3,42,24,0,1,1,0,0,5,3,6,0,0,0,167,992,839,0,0
2020-08,47,1951,156,679,64,258,11,36,6,7,495,40,40,8,40,30,0,1,2,0,4,1,3,6,1,0,0,151,969,995,0,0
2020-09,48,2147,133,615,54,251,10,23,4,8,522,39,42,4,50,18,1,0,2,1,2,1,1,7,0,0,1,178,885,960,0,0
2020-10,73,2387,150,691,77,253,13,34,5,6,543,34,81,5,54,16,1,1,2,0,3,2,5,7,1,0,0,157,862,1022,0,0
2020-11,78,2090,122,488,64,215,5,27,4,17,480,35,66,9,48,15,0,2,4,2,6,1,2,3,1,0,1,147,717,927,0,1
2020-12,64,2257,127,512,69,225,8,34,4,9,444,36,52,4,40,15,0,2,4,1,5,1,2,2,2,0,0,166,707,963,0,0
